# i 	s 	L 		u 	S 	I 	
1000 	135 	0.094313 	73989 	0 	19 	
1000 	135 	0.099382 	51992 	0 	13 	
1000 	135 	0.093841 	58991 	0 	15 	
1000 	136 	0.091075 	43994 	0 	11 	
1000 	136 	0.098011 	62991 	0 	16 	
1000 	136 	0.092738 	45993 	0 	12 	
1000 	136 	0.099196 	41994 	2000 	12 	
1000 	137 	0.091077 	39994 	0 	11 	
1000 	137 	0.089343 	42993 	1000 	12 	
1000 	137 	0.099768 	64990 	0 	18 	
1000 	138 	0.092559 	64990 	0 	18 	
1000 	138 	0.085052 	47993 	0 	13 	
1000 	138 	0.099112 	90987 	0 	25 	
1000 	139 	0.095245 	63990 	0 	17 	
1000 	139 	0.094757 	55991 	0 	15 	
1000 	139 	0.097845 	58991 	0 	16 	
1000 	139 	0.098854 	69989 	0 	19 	
1000 	140 	0.099451 	100984 	0 	27 	
1000 	140 	0.098728 	89986 	0 	24 	
1000 	140 	0.099241 	56992 	0 	15 	
1000 	141 	0.094819 	45993 	0 	12 	
1000 	141 	0.09733 	55991 	1000 	15 	
1000 	141 	0.099004 	72989 	0 	19 	
1000 	142 	0.099264 	97985 	0 	25 	
1000 	142 	0.091573 	58991 	0 	15 	
1000 	142 	0.096073 	88986 	0 	25 	
1000 	142 	0.09675 	39994 	0 	11 	
1000 	143 	0.098173 	33995 	0 	9 	
1000 	143 	0.094421 	66989 	1000 	19 	
1000 	143 	0.096274 	54992 	0 	15 	
1000 	144 	0.094005 	112982 	2000 	32 	
1000 	144 	0.097215 	56991 	1000 	16 	
1000 	144 	0.095205 	66989 	0 	18 	
1000 	145 	0.097473 	51992 	1000 	14 	
1000 	145 	0.091743 	69989 	0 	19 	
1000 	145 	0.099973 	59991 	0 	16 	
1000 	145 	0.095169 	79988 	0 	22 	
1000 	146 	0.093593 	63991 	0 	17 	
1000 	146 	0.097225 	54991 	2000 	15 	
1000 	146 	0.094131 	45993 	0 	12 	
1000 	147 	0.095747 	52992 	0 	14 	
1000 	147 	0.088079 	44993 	1000 	12 	
1000 	147 	0.093219 	63990 	0 	17 	
1000 	148 	0.096888 	61990 	1000 	17 	
1000 	148 	0.09997 	59991 	0 	17 	
1000 	148 	0.09176 	73989 	0 	21 	
1000 	148 	0.092105 	56992 	0 	16 	
1000 	149 	0.093665 	61991 	0 	17 	
1000 	149 	0.099911 	98985 	2000 	28 	
1000 	149 	0.099901 	54991 	0 	15 	
1000 	150 	0.092487 	54991 	0 	15 	
1000 	150 	0.099462 	68989 	0 	19 	
1000 	150 	0.093432 	89987 	0 	25 	
1000 	151 	0.096877 	69989 	0 	19 	
1000 	151 	0.099302 	76988 	0 	21 	
1000 	151 	0.094435 	58991 	0 	16 	
1000 	151 	0.099867 	54992 	1000 	15 	
1000 	152 	0.099802 	65990 	999 	18 	
1000 	152 	0.09503 	73988 	0 	20 	
1000 	152 	0.097305 	57991 	2000 	16 	
1000 	153 	0.097333 	61991 	1999 	17 	
1000 	153 	0.094262 	45993 	0 	12 	
1000 	153 	0.098019 	73989 	1000 	20 	
1000 	154 	0.098832 	67989 	0 	18 	
1000 	154 	0.098668 	64990 	0 	17 	
1000 	154 	0.098259 	59991 	999 	16 	
1000 	154 	0.097405 	104984 	0 	28 	
1000 	155 	0.096556 	57991 	0 	15 	
1000 	155 	0.090584 	58991 	0 	15 	
1000 	155 	0.098451 	46993 	0 	12 	
1000 	156 	0.096529 	53991 	0 	13 	
1000 	156 	0.091873 	79987 	0 	20 	
1000 	156 	0.091619 	64990 	0 	16 	
1000 	157 	0.095392 	62991 	1000 	16 	
1000 	157 	0.098484 	47993 	1000 	12 	
1000 	157 	0.097876 	82987 	1000 	21 	
1000 	157 	0.095122 	80988 	0 	20 	
1000 	158 	0.094311 	74989 	1000 	19 	
1000 	158 	0.094872 	41994 	0 	10 	
1000 	158 	0.099238 	40993 	0 	10 	
1000 	159 	0.095002 	67990 	0 	17 	
1000 	159 	0.095979 	87987 	0 	22 	
1000 	159 	0.094416 	64990 	0 	16 	
1000 	160 	0.095828 	86987 	0 	21 	
1000 	160 	0.098087 	86987 	3000 	22 	
1000 	160 	0.096366 	93986 	0 	23 	
1000 	160 	0.09901 	76989 	1000 	19 	
1000 	161 	0.093315 	69989 	1000 	17 	
1000 	161 	0.0998 	82987 	0 	20 	
1000 	161 	0.09205 	68990 	2000 	17 	
1000 	162 	0.09187 	75989 	0 	18 	
1000 	162 	0.096381 	67990 	0 	16 	
1000 	162 	0.091792 	42994 	0 	10 	
1000 	163 	0.093992 	63991 	0 	15 	
1000 	163 	0.09637 	64990 	0 	15 	
1000 	163 	0.093534 	59991 	0 	14 	
1000 	163 	0.093097 	67990 	0 	16 	
1000 	164 	0.089573 	42994 	2000 	10 	
1000 	164 	0.096721 	73989 	0 	17 	
1000 	164 	0.095576 	120981 	0 	28 	
